Mashine_code,E_TIME,INGOT_ID,LOT_ID,BRICK_ID,WIRESAW_TOOL_ID,WAFER_ID,BIN_NUM,SORTING_NAME,CSI_left,CSI_right,CSI_front,CSI_rear,TMEAN,TMIN,TMAX,TTV,ETV,ETTV,RMEAN,RMAX,RMIN,"SMART1 GROOVE","SMART1 Surfce GROOVE",STEP,BOW,WARP,PN_TYPE,"SMART2 GROOVE","SMART2 Surface GROOVE",STAIN_TOP,STAIN_BTM,top_chip,btm_chip,WIDTH,LENGTH,DIAMETER_45,DIAMETER_135,Chamfer_TL,Chamfer_TR,Chamfer_BL,Chamfer_BR,RECTANGULARITY_TL,RECTANGULARITY_TR,RECTANGULARITY_BL,RECTANGULARITY_BR,ChamferX_TL,ChamferX_TR,ChamferX_BR,ChamferX_BL,ChamferY_TL,ChamferY_TR,ChamferY_BR,ChamferY_BL,Pinhole,Crack,Inclusion,RECIPE
"FAB2-Tool52 2-A1","20190628 11:11:45",HPD21906233029,HPD21906233029,HPD21906233029,SJ12,47,7," A+",0,0,0,0,181.148,178.621,184.841,6.220,,,1.575,1.646,1.550,4.173,6.268,6.238,5.454,19.801,,,,0,0,0,0,156.880,156.954,220.247,220.219,1.683,1.404,1.724,1.687,-0.048,0.032,0.01,0.005,,,,,,,,,0,0,0,"Jinko DW Multi V2-157-180.csv"
"FAB2-Tool52 2-A1","20190628 11:11:46",HPD21906233029,HPD21906233029,HPD21906233029,SJ12,48,7," A+",0,0,0,0,181.987,178.178,185.84,7.662,,,1.576,1.648,1.551,4.367,6.455,5.763,2.726,17.611,,,,0,0,0,0,156.878,156.952,220.252,220.219,1.663,1.394,1.736,1.684,-0.049,0.034,0.01,0.006,,,,,,,,,0,0,0,"Jinko DW Multi V2-157-180.csv"
"FAB2-Tool52 2-A1","20190628 11:11:46",HPD21906233029,HPD21906233029,HPD21906233029,SJ12,49,7," A+",0,0,0,0,180.954,177.46,184.681,7.220,,,1.575,1.631,1.548,3.227,6.324,4.577,3.004,17.105,,,,0,0,0,0,156.882,156.953,220.253,220.239,1.646,1.404,1.731,1.682,-0.05,0.034,0.009,0.008,,,,,,,,,0,0,0,"Jinko DW Multi V2-157-180.csv"
"FAB2-Tool52 2-A1","20190628 11:11:47",HPD21906233029,HPD21906233029,HPD21906233029,SJ12,50,7," A+",0,0,0,0,181.944,178.69,184.535,5.845,,,1.579,1.656,1.550,3.595,5.042,4.907,5.971,19.174,,,,0,0,0,0,156.880,156.953,220.258,220.229,1.665,1.405,1.718,1.676,-0.048,0.031,0.011,0.006,,,,,,,,,0,0,0,"Jinko DW Multi V2-157-180.csv"
"FAB2-Tool52 2-A1","20190628 11:11:47",HPD21906233029,HPD21906233029,HPD21906233029,SJ12,51,7," A+",0,0,0,0,180.601,177.202,185.599,8.397,,,1.582,1.649,1.556,3.991,5.966,4.909,2.199,17.803,,,,0,0,0,0,156.886,156.954,220.260,220.228,1.683,1.398,1.699,1.692,-0.046,0.029,0.01,0.006,,,,,,,,,0,0,0,"Jinko DW Multi V2-157-180.csv"
"FAB2-Tool52 2-A1","20190628 11:11:48",HPD21906233029,HPD21906233029,HPD21906233029,SJ12,52,7," A+",0,0,0,0,180.761,177.454,184.173,6.718,,,1.597,1.671,1.568,4.372,5.425,4.829,2.005,19.824,,,,0,0,0,0,156.878,156.951,220.251,220.214,1.669,1.397,1.733,1.688,-0.048,0.035,0.01,0.003,,,,,,,,,0,0,0,"Jinko DW Multi V2-157-180.csv"
"FAB2-Tool52 2-A1","20190628 11:11:48",HPD21906233029,HPD21906233029,HPD21906233029,SJ12,53,7," A+",0,0,0,0,181.499,178.776,184.759,5.983,,,1.576,1.655,1.546,4.902,6.331,7.977,4.540,18.015,,,,0,0,0,0,156.881,156.952,220.251,220.232,1.648,1.403,1.723,1.683,-0.051,0.035,0.01,0.006,,,,,,,,,0,0,0,"Jinko DW Multi V2-157-180.csv"
"FAB2-Tool52 2-A1","20190628 11:11:49",HPD21906233029,HPD21906233029,HPD21906233029,SJ12,54,7," A+",0,0,0,0,181.003,177.522,183.911,6.389,,,1.571,1.639,1.544,3.981,5.754,5.662,2.830,18.724,,,,0,0,0,0,156.882,156.953,220.256,220.220,1.674,1.396,1.722,1.689,-0.047,0.03,0.011,0.006,,,,,,,,,0,0,0,"Jinko DW Multi V2-157-180.csv"
"FAB2-Tool52 2-A1","20190628 11:11:49",HPD21906233029,HPD21906233029,HPD21906233029,SJ12,55,7," A+",0,0,0,0,179.845,177.336,183.745,6.409,,,1.584,1.656,1.550,5.019,6.922,5.865,3.245,19.412,,,,0,0,0,0,156.880,156.950,220.252,220.213,1.687,1.396,1.704,1.691,-0.048,0.033,0.012,0.003,,,,,,,,,0,0,0,"Jinko DW Multi V2-157-180.csv"
"FAB2-Tool52 2-A1","20190628 11:11:50",HPD21906233029,HPD21906233029,HPD21906233029,SJ12,56,7," A+",0,0,0,0,181.388,178.147,184.949,6.803,,,1.572,1.652,1.540,4.111,5.451,4.900,2.663,18.630,,,,0,0,0,0,156.883,156.952,220.255,220.228,1.669,1.396,1.694,1.696,-0.045,0.029,0.013,0.003,,,,,,,,,0,0,0,"Jinko DW Multi V2-157-180.csv"
"FAB2-Tool52 2-A1","20190628 11:11:50",HPD21906233029,HPD21906233029,HPD21906233029,SJ12,57,7," A+",0,0,0,0,182.687,178.276,186.742,8.466,,,1.569,1.641,1.540,4.315,6.214,4.653,6.824,19.422,,,,0,0,0,0,156.883,156.952,220.262,220.223,1.658,1.394,1.733,1.687,-0.047,0.032,0.01,0.005,,,,,,,,,0,0,0,"Jinko DW Multi V2-157-180.csv"
"FAB2-Tool52 2-A1","20190628 11:11:51",HPD21906233029,HPD21906233029,HPD21906233029,SJ12,58,7," A+",0,0,0,0,181.066,177.364,184.104,6.740,,,1.580,1.655,1.547,5.693,6.266,6.612,3.122,19.325,,,,0,0,0,0,156.878,156.949,220.255,220.212,1.665,1.399,1.718,1.694,-0.049,0.032,0.016,0.001,,,,,,,,,0,0,0,"Jinko DW Multi V2-157-180.csv"
